presynaptic_ID x_(8_nm) y_(8_nm) z_(30_nm) synapse_id size prediction_status validation_status date x_nm_res y_nm_res z_nm_res
576460752708996896 24150 37676 2576 11622418 18 predicted "below cut-off" 2025-12-01 193200 301408 77280
576460752465797952 23360 39034 2339 11241197 57 predicted valid 2025-12-01 186880 312272 70170
576460752342493571 23862 37730 2390 11220140 47 predicted valid 2025-12-01 190896 301840 71700
576460752432428900 19556 36114 2608 7894022 281 predicted valid 2025-12-01 156448 288912 78240
576460752379476343 18106 37520 2729 6348777 10 predicted "below cut-off" 2025-12-01 144848 300160 81870
576460752536820829 23872 38352 2278 11228871 24 predicted "below cut-off" 2025-12-01 190976 306816 68340
576460752535258909 22162 38560 2219 10122920 132 predicted valid 2025-12-01 177296 308480 66570
576460752445252763 18558 37378 2808 6349459 94 predicted valid 2025-12-01 148464 299024 84240
576460752734625409 18120 37532 2731 6348792 15 predicted "below cut-off" 2025-12-01 144960 300256 81930
576460752572079311 20884 36208 2619 8709327 37 predicted "below cut-off" 2025-12-01 167072 289664 78570
576460752461450726 22184 38360 2562 10135052 39 predicted "below cut-off" 2025-12-01 177472 306880 76860
576460752735453057 22976 36860 2471 10699188 232 predicted valid 2025-12-01 183808 294880 74130
576460752662315130 18226 36086 2750 6293232 117 predicted valid 2025-12-01 145808 288688 82500
576460752365852848 18242 37604 2659 6353309 14 predicted "below cut-off" 2025-12-01 145936 300832 79770
576460752669092579 18382 37582 2642 6353467 103 predicted valid 2025-12-01 147056 300656 79260
576460752687891210 24334 38150 2217 11624453 23 predicted "below cut-off" 2025-12-01 194672 305200 66510
576460752631013621 23882 37920 2287 11228882 16 predicted "below cut-off" 2025-12-01 191056 303360 68610
576460752630960629 24216 37966 2161 11628762 30 predicted "below cut-off" 2025-12-01 193728 303728 64830
576460752734625409 18254 37108 2712 6316186 45 predicted valid 2025-12-01 146032 296864 81360
576460752735453825 22888 36850 2463 10699078 9 predicted "below cut-off" 2025-12-01 183104 294800 73890
576460752345080707 24092 38096 2179 11624194 139 predicted valid 2025-12-01 192736 304768 65370
576460752640770245 19114 36380 2789 7108048 21 predicted "below cut-off" 2025-12-01 152912 291040 83670
576460752393077129 19170 36232 2750 7079129 328 predicted valid 2025-12-01 153360 289856 82500
576460752374396930 19638 36236 2672 7894255 53 predicted valid 2025-12-01 157104 289888 80160
576460752521995112 22460 38556 2497 10151859 55 predicted valid 2025-12-01 179680 308448 74910
576460752443633051 19302 37016 2798 7108294 111 predicted valid 2025-12-01 154416 296128 83940
576460752744069261 19498 36216 2620 7893876 272 predicted valid 2025-12-01 155984 289728 78600
576460752686359277 22496 38704 2434 10147972 50 predicted valid 2025-12-01 179968 309632 73020
576460752355064852 24050 37600 2548 11219572 10 predicted "below cut-off" 2025-12-01 192400 300800 76440
576460752748237197 19978 36382 2644 7903160 36 predicted "below cut-off" 2025-12-01 159824 291056 79320
576460752344554371 24160 38054 2165 11628702 7 predicted "below cut-off" 2025-12-01 193280 304432 64950
576460752669092579 18584 37410 2779 6349501 20 predicted "below cut-off" 2025-12-01 148672 299280 83370
576460752326180789 23044 36910 2503 10699316 17 predicted "below cut-off" 2025-12-01 184352 295280 75090
576460752694817345 18302 37236 2816 6349090 87 predicted valid 2025-12-01 146416 297888 84480
576460752735413889 22822 36954 2420 10698102 96 predicted valid 2025-12-01 182576 295632 72600
576460752735440257 22940 36886 2459 10699151 21 predicted "below cut-off" 2025-12-01 183520 295088 73770
576460752700540638 23054 36928 2508 10699327 30 predicted "below cut-off" 2025-12-01 184432 295424 75240
576460752345623171 24128 38170 2192 11624232 33 predicted "below cut-off" 2025-12-01 193024 305360 65760
576460752659899832 22454 38716 2457 10147933 5 predicted "below cut-off" 2025-12-01 179632 309728 73710
576460752326948789 23306 37152 2530 11218589 20 predicted "below cut-off" 2025-12-01 186448 297216 75900
576460752432885348 19622 36290 2658 7894249 10 predicted "below cut-off" 2025-12-01 156976 290320 79740
576460752432885348 19674 36258 2664 7894309 7 predicted "below cut-off" 2025-12-01 157392 290064 79920
576460752708011040 23148 38910 2389 10743094 49 predicted valid 2025-12-01 185184 311280 71670
576460752324742069 22978 36898 2469 10699215 9 predicted "below cut-off" 2025-12-01 183824 295184 74070
576460752688634871 23046 36914 2506 10699324 5 predicted "below cut-off" 2025-12-01 184368 295312 75180
576460752747447417 21794 36254 2447 10086017 18 predicted "below cut-off" 2025-12-01 174352 290032 73410
576460752675019274 18052 37022 2796 6315929 10 predicted "below cut-off" 2025-12-01 144416 296176 83880
576460752658630584 22382 37896 2371 10111880 160 predicted valid 2025-12-01 179056 303168 71130
576460752640612037 19622 36296 2662 7894238 84 predicted valid 2025-12-01 156976 290368 79860
576460752385889126 18242 36124 2745 6293256 21 predicted "below cut-off" 2025-12-01 145936 288992 82350
576460752766519857 20574 36186 2638 8708282 8 predicted "below cut-off" 2025-12-01 164592 289488 79140
576460752385268326 18184 36170 2753 6293185 169 predicted valid 2025-12-01 145472 289360 82590
576460752412649236 18488 36810 2670 6321840 19 predicted "below cut-off" 2025-12-01 147904 294480 80100
576460752459873548 21746 36230 2430 9452274 24 predicted "below cut-off" 2025-12-01 173968 289840 72900
576460752643493817 18288 37252 2763 6349069 73 predicted valid 2025-12-01 146304 298016 82890
576460752354835732 23702 37460 2534 11219090 46 predicted valid 2025-12-01 189616 299680 76020
576460752444850331 19336 36870 2795 7108337 159 predicted valid 2025-12-01 154688 294960 83850
576460752630616053 23720 37522 2506 11219119 16 predicted "below cut-off" 2025-12-01 189760 300176 75180
576460752354653972 23730 37424 2534 11219115 183 predicted valid 2025-12-01 189840 299392 76020
576460752679541094 22926 38838 2395 10742851 7 predicted "below cut-off" 2025-12-01 183408 310704 71850
576460752630616053 23738 37504 2511 11219138 47 predicted valid 2025-12-01 189904 300032 75330
576460752353173268 23910 37362 2515 11219399 195 predicted valid 2025-12-01 191280 298896 75450
576460752730267777 18264 37162 2729 6349039 19 predicted "below cut-off" 2025-12-01 146112 297296 81870
576460752734625409 18282 37066 2714 6316241 174 predicted valid 2025-12-01 146256 296528 81420
576460752341001347 23764 37676 2396 11220046 12 predicted "below cut-off" 2025-12-01 190112 301408 71880
576460752684919203 19626 36322 2674 7894250 20 predicted "below cut-off" 2025-12-01 157008 290576 80220
576460752659972280 22444 38630 2487 10151843 13 predicted "below cut-off" 2025-12-01 179552 309040 74610
576460752332142416 22728 38678 2401 10742631 120 predicted valid 2025-12-01 181824 309424 72030
576460752658144160 19224 36940 2814 7108209 10 predicted "below cut-off" 2025-12-01 153792 295520 84420
576460752658410168 23182 38896 2403 10743115 91 predicted valid 2025-12-01 185456 311168 72090
576460752734660993 18502 36834 2666 6321862 11 predicted "below cut-off" 2025-12-01 148016 294672 79980
576460752658144160 18424 37562 2648 6353517 247 predicted valid 2025-12-01 147392 300496 79440
576460752535235613 22188 38526 2219 10122944 116 predicted valid 2025-12-01 177504 308208 66570
576460752748216717 18452 36844 2679 6321541 236 predicted valid 2025-12-01 147616 294752 80370
576460752688634871 20566 36158 2638 8708277 6 predicted "below cut-off" 2025-12-01 164528 289264 79140
576460752680901652 23670 39148 2318 11241490 39 predicted "below cut-off" 2025-12-01 189360 313184 69540
576460752386217574 18368 36614 2753 6316340 70 predicted valid 2025-12-01 146944 292912 82590
576460752735453057 22318 37944 2366 10134560 11 predicted "below cut-off" 2025-12-01 178544 303552 70980
576460752684395683 19572 36174 2701 7891791 54 predicted valid 2025-12-01 156576 289392 81030
576460752669092579 19184 36252 2743 7079169 39 predicted "below cut-off" 2025-12-01 153472 290016 82290
576460752379857015 18010 37360 2772 6348648 69 predicted valid 2025-12-01 144080 298880 83160
576460752523279720 22158 38408 2548 10151463 8 predicted "below cut-off" 2025-12-01 177264 307264 76440
576460752474761089 18642 37338 2789 6349594 5 predicted "below cut-off" 2025-12-01 149136 298704 83670
576460752694605889 18184 37550 2712 6348875 219 predicted valid 2025-12-01 145472 300400 81360
576460752433247332 19592 36154 2605 7894154 151 predicted valid 2025-12-01 156736 289232 78150
